9300709;Si;Si;;Sexto Primaria;Quinto Primaria;
9300709;Si;Si;;Tercero Primaria;Segundo Primaria;
9347980;Si;No;Falta de dinero;Ninguno;Primero Primaria;Trabajador(a) cuenta propia no agra­cola
9347980;Si;Si;;Primero Primaria;Preprimaria;
9347983;Si;No;Trabajo;Ninguno;Cuarto Primaria;Trabajador(a) cuenta propia no agra­cola
9347983;Si;Si;;Segundo Primaria;Primero Primaria;
9347997;Si;Si;;Cuarto Primaria;Tercero Primaria;
9347997;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia agra­cola
9347997;No;No;Otra causa;Ninguno;Ninguno;
9348022;Si;No;Otra causa;Ninguno;Sexto Primaria;Trabajador(a) cuenta propia no agra­cola
9348022;Si;Si;;Segundo Primaria;Primero Primaria;
9348022;Si;Si;;Sexto Primaria;Quinto Primaria;
9350847;Si;Si;;Cuarto Primaria;Tercero Primaria;
9350847;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
9350853;No;No;Otra causa;Ninguno;Ninguno;
9350853;Si;No;Otra causa;Ninguno;Sexto Primaria;Trabajador(a) cuenta propia no agra­cola
9350853;Si;Si;;Primero Basico;Sexto Primaria;
9697836;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia agra­cola
9697836;Si;No;Falta de dinero;Ninguno;Sexto Primaria;
9697836;Si;Si;;Segundo Primaria;Primero Primaria;
9748333;Si;No;Falta de dinero;Ninguno;Tercero Primaria;No Trabaja
9748739;No;No;Otra causa;Ninguno;Ninguno;No Trabaja
9748739;No;No;Otra causa;Ninguno;Ninguno;
9748739;Si;No;Falta de dinero;Ninguno;Sexto Primaria;
9748739;Si;Si;;Segundo Primaria;Primero Primaria;
9748739;Si;Si;;Tercero Primaria;Segundo Primaria;
9899361;No;No;Otra causa;Ninguno;Ninguno;Trabajador(a) cuenta propia no agra­cola
9899361;Si;Si;;Primero Primaria;Preprimaria;
9899361;Si;Si;;Tercero Primaria;Segundo Primaria;
9899921;Si;Si;;Cuarto Primaria;Tercero Primaria;
9899921;No;No;Otra causa;Ninguno;Ninguno;No Trabaja
9899921;No;Si;;Preprimaria;Ninguno;
9899921;Si;Si;;Segundo Primaria;Primero Primaria;
9899921;Si;Si;;Tercero Primaria;Segundo Primaria;
9948057;Si;Si;;Cuarto Primaria;Tercero Primaria;
9948057;Si;No;Falta de dinero;Ninguno;Segundo Primaria;No Trabaja
9948057;Si;Si;;Sexto Primaria;Quinto Primaria;
9948073;Si;Si;;Cuarto Primaria;Tercero Primaria;
9948073;Si;No;Falta de dinero;Ninguno;Tercero Primaria;Trabajador(a) cuenta propia no agra­cola
9948073;No;Si;;Preprimaria;Ninguno;
9948073;No;Si;;Primero Primaria;Preprimaria;
